Lien,,Auteuræ,Titre bref,Lieu/Imprimeur,Date,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=0&tbl=gln_edit&no=5771,1,H. C. Agrippa,[Almanach pour 1523],"Ge, J. Vivian.",[1522],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=1&tbl=gln_edit&no=5764,2,J. Albertin,Ad orthodoxe fidei cultores. De ecclesiastica unione charitativa exhortatio,"Ge, W. Koeln.",[± 1523],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=2&tbl=gln_edit&no=5765,3,J. Albertin,De mirabili temporis mutatione,"Ge, W. Koeln.",[± 1524],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=3&tbl=gln_edit&no=5815,4,J. Albertin,"Libellus in quo ostenditur fides et intellectus quoad sanctosanctum corporis et sanguinis Jesu Christi sacramentum, contra quorumdam libros","Ge, W. Koeln.",1527,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=4&tbl=gln_edit&no=5816,5,J. Albertin,"Uff das Jar so man zellet nach der Geburt Christi M CCCCC XXXII, ein kurtze Anzeigung.","[Ge], [W. Koeln ?].",1531,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=5&tbl=gln_edit&no=5770,6,Almanach,Almanach de ceste presente année courant. l’an de grace Mil. CCCCC. et XIX.,"[Ge], [J. Vivian].",1519,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=6&tbl=gln_edit&no=4580,7,Bâton,Baston pour chasser les loups,"[Ge], [J. Vivian].",[± 1522],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=7&tbl=gln_edit&no=1307,8,J. Bernard,Conclusions chrestiennes pour la dispute de Genève,"[Ge], [W. Koeln ?].",1535,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=8&tbl=gln_edit&no=3,9,Bible (fr.),Bible en Francoys.,"Ne, P. de Vingle.",1535,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=9&tbl=gln_edit&no=1316,10,Bible. Ps,Psalmes de David. Translatez en langue françoyse,"Ge, [J. Girard].",1537,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=10&tbl=gln_edit&no=6113,11,Bible. N.T.,Nouveau testament,"[Ge ?], P. de Vingle.",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=11&tbl=gln_edit&no=4722,12,Bible. N.T.,Nouveau testament,"Ne, P. de Vingle.",1534,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=12&tbl=gln_edit&no=5,13,Bible. N.T.,Nouveau Testament en françois,"Ge, [J. Girard].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=13&tbl=gln_edit&no=6,14,Bible. N.T.,Nouveau Testament en françois,"[Ge], [J. Girard].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=14&tbl=gln_edit&no=4757,15,H. Bodius,Premiere partie de l'union de plusieurs passaiges de l'escripture saincte. Reveu et corrigé,"« An », [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=15&tbl=gln_edit&no=4758,16,H. Bodius,Seconde partie de l'union de plusieurs passages de l'escripture saincte. Reveu et corrigé,"« An », [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=16&tbl=gln_edit&no=5819,17,A. Brelochs,Practique ou pronostication nouvelle d'Allemaigne.,"Ge, G. Pomard.",[1532],
