Lien,,AuteurÊ,Titre bref,Lieu/Imprimeur,Date,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=0&tbl=gln_edit&no=5830,1,ABC,ABC des Chrestiens,"[Ge], J. Bonnefoy etc..",[1559] « 1549 »,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=1&tbl=gln_edit&no=5757,2,ABC,Abc [Manuel sans titre],"Ge, G. Pomard.",[1520/1530],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=2&tbl=gln_edit&no=5816,3,J. Albertin,"Uff das Jar so man zellet nach der Geburt Christi M CCCCC XXXII, ein kurtze Anzeigung.","[Ge], [W. Koeln ?].",1531,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=3&tbl=gln_edit&no=1449,4,Almanach,Almanach pour l'année 1547,"Ge, G. Koeln, dit Vigean.",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=4&tbl=gln_edit&no=6002,5,Almanach,Almanach pour l'année 1547,"Ge, G. Koeln, dit Vigean.",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=5&tbl=gln_edit&no=1470,6,Almanach,Almanach pour l'année 1550,"Ge, G. Koeln, dit Vigean.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=6&tbl=gln_edit&no=1348,7,St Ambrosius,De vocatione omnium gentium libri duo,"Ge, M. Du Bois.",1541,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=7&tbl=gln_edit&no=1318,8,Annonce,Annonce d'un prix d'arquebuse pour le 8 sept. 1538 : Au nom de Dieu tout puissant; A tous quil ces presentes...,"[Ge], [W. Koeln].",[1538],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=8&tbl=gln_edit&no=6833,9,Annonce,Annonce de la foire de la Toussaint,"[Ge], [W. Koeln].",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=9&tbl=gln_edit&no=1477,10,Arrêts,Arrestz et ordonnances royaux de la souveraine court du Royaume des Cieux.,"[Ge], [J. Girard].",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=10&tbl=gln_edit&no=1358,11,Arrêts,"Arrets et ordonnances royalles de la supreme, treshaute et souveraine court du royaume des cieux","[Ge], J. Girard.",1542,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=11&tbl=gln_edit&no=1341,12,St Augustinus,Liber de spiritu et litera ad Marcellinum,"Ge, M. Du Bois.",1540,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=12&tbl=gln_edit&no=1450,13,E. de Beaulieu,Chrestienne resjouyssance,"[Ge], [J. Girard].",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=13&tbl=gln_edit&no=1323,14,Bergerie,Bergerie,"[Ge], J. Michel.",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=14&tbl=gln_edit&no=1307,15,J. Bernard,Conclusions chrestiennes pour la dispute de Genève,"[Ge], [W. Koeln ?].",1535,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=15&tbl=gln_edit&no=1478,16,T. de Bèze,Abraham sacrifiant. Tragedie françoise,"[Ge], [J. Crespin] etc..",1550,
