Lien,,Auteur ,Titre bref,Lieu/Imprimeur,Date,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=0&tbl=gln_edit&no=5830,1,ABC,ABC des Chrestiens,"[Ge], J. Bonnefoy & Michel Blanchier",[1559] « 1549 »,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=1&tbl=gln_edit&no=203,2,ABC,ABC françois,"[Ge], [J. Crespin].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=2&tbl=gln_edit&no=277,3,ABC,ABC françois,"[Ge], [J. Crespin].",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=3&tbl=gln_edit&no=1620,4,Accord,Accord de plusieurs passages des sainctes escritures.,"[Ge], J. Crespin.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=4&tbl=gln_edit&no=1650,5,Accord,Accord de plusieurs passages des sainctes escritures. Reveu et augmenté.,"[Ge], J. Crespin.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=5&tbl=gln_edit&no=1959,6,[E. Alberus],"Alcoran des cordeliers, tant en latin qu'en françois","Ge, C. Badius.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=6&tbl=gln_edit&no=2131,7,[E. Alberus],"Alcoran des Cordeliers, tant en latin qu'en françois, nouvellement y a esté adjousté le second livre.","[Ge], C. Badius.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=7&tbl=gln_edit&no=1621,8,A. d’Albiac,Divers cantiques esleus et extraits du Vieil et Nouveau Testament,"[Ge], J. Crespin.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=8&tbl=gln_edit&no=1894,9,A. d’Albiac,"Livre de Job, traduit en poesie françoise","[Ge], J. Girard.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=9&tbl=gln_edit&no=1622,10,[P. Alexandre],De origine novi dei missatici,"[Ge], [J. Crespin].",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=10&tbl=gln_edit&no=1623,11,[P. Alexandre],De origine novi dei missatici,"Ge, [J. Crespin].",[1558],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=11&tbl=gln_edit&no=5930,12,P. Alexandre,Epistre aux freres de l'Eglise qui fut en Angleterre,"[Ge], [J. Crespin].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=12&tbl=gln_edit&no=5927,13,Alphabetum,Alphabetum græcum.,"[Ge], J. Crespin.",1552,,,
